Frequency,Time_dB_SPL,FFT_dB_SPL,Calibrated_Time_dB_SPL,Calibrated_FFT_dB_SPL,Normalization_dB_SPL,THD,At one kHz 0.1V=84.65dB SPL
97,76.659697,76.634746,No Data,No Data,35.0181502,-42.2266348,
183,78.2394424,78.2138672,No Data,No Data,33.439029,-47.5693322,
269,78.9487868,78.9290468,No Data,No Data,32.7238494,-48.5602568,
355,79.6214204,79.5999528,No Data,No Data,32.0529434,-46.0929246,
441,80.249675,80.2286758,No Data,No Data,31.4242204,-47.0022054,
527,80.6488786,80.626535,No Data,No Data,31.026361,-46.6965218,
613,80.9162658,80.894574,No Data,No Data,30.758322,-43.0076706,
699,81.297476,81.274434,No Data,No Data,30.3784622,-48.9898256,
785,81.5620208,81.5419844,No Data,No Data,30.1109114,-48.6501502,
871,82.5470034,82.528572,No Data,No Data,29.124324,-46.341265,
957,83.9446014,83.92623,No Data,No Data,27.7266666,-46.3133874,
1043,85.3612716,85.3416916,No Data,No Data,26.3112044,-52.3627428,
1129,86.8732606,86.8544878,No Data,No Data,24.7984086,-57.8858848,
1215,87.6549638,87.6346742,No Data,No Data,24.018222,-58.635028,
1301,89.2189546,89.1993942,No Data,No Data,22.4535016,-58.9448602,
1387,90.8361146,90.816974,No Data,No Data,20.8359224,-63.8225808,
1473,92.6568482,92.6378296,No Data,No Data,19.0150668,-65.7962996,
1559,94.8289306,94.8098512,No Data,No Data,16.8430452,-68.4343136,
1645,96.0775192,96.0588454,No Data,No Data,15.5940504,-69.5500106,
1731,98.8361924,98.8174378,No Data,No Data,12.8354582,-71.7065218,
1817,101.0216962,101.0028806,No Data,No Data,10.6500152,-73.7320892,
1903,100.4523012,100.4337356,No Data,No Data,11.2191604,-70.8489686,
1989,97.927542,97.9087784,No Data,No Data,13.7441176,-68.9751404,
2075,95.3992904,95.3802718,No Data,No Data,16.2726242,-64.8191468,
2161,94.2988006,94.279898,No Data,No Data,17.372998,-62.7020204,
2247,92.4169478,92.3980576,No Data,No Data,19.2548386,-60.796707,
2333,90.8858354,90.8669432,No Data,No Data,20.7859528,-62.4919952,
2419,89.6733202,89.6534378,No Data,No Data,21.9994584,-61.8019958,
2505,88.6648942,88.645253,No Data,No Data,23.0076434,-61.5382172,
2591,88.1876878,88.167581,No Data,No Data,23.4853152,-61.5173904,
2677,87.3287768,87.3093368,No Data,No Data,24.3435592,-60.742984,
2763,86.5918214,86.5721648,No Data,No Data,25.0807312,-57.7020996,
2849,85.9584212,85.9384614,No Data,No Data,25.7144348,-58.7868254,
2935,85.4133072,85.3947312,No Data,No Data,26.2581648,-55.4172212,
3021,85.1676606,85.1481354,No Data,No Data,26.504761,-53.6372256,
3107,84.724852,84.7048736,No Data,No Data,26.9480224,-51.862179,
3193,84.3468218,84.3277388,No Data,No Data,27.3251572,-47.9497584,
3279,84.0199814,84.0004486,No Data,No Data,27.6524474,-44.842869,
3365,83.7423858,83.7228272,No Data,No Data,27.9300692,-48.4636904,
3451,83.615262,83.5954026,No Data,No Data,28.0574934,-51.0220796,
3537,83.3986052,83.3783616,No Data,No Data,28.2745346,-51.6210046,
3623,83.2440292,83.2258424,No Data,No Data,28.427054,-53.1857964,
3709,83.1421492,83.1227232,No Data,No Data,28.5301726,-54.8251824,
3795,83.0626266,83.0430712,No Data,No Data,28.6098252,-52.487158,
3881,83.0338,83.01606,No Data,No Data,28.6368362,-54.6711388,
3967,83.0062668,82.9875702,No Data,No Data,28.665326,-54.8130486,
4053,83.0162016,82.9961166,No Data,No Data,28.6567798,-56.6179626,
4139,83.055551,83.0357468,No Data,No Data,28.6171494,-56.1835404,
4225,83.1332046,83.1147292,No Data,No Data,28.5381668,-56.5843598,
4311,83.1835892,83.1653976,No Data,No Data,28.4874986,-57.4153306,
4397,83.308162,83.2865326,No Data,No Data,28.3663634,-57.8753524,
4483,83.4584,83.438031,No Data,No Data,28.214865,-55.6725792,
4569,83.6444442,83.6255034,No Data,No Data,28.0273926,-56.696676,
4655,83.8650344,83.844902,No Data,No Data,27.807994,-58.1433112,
4741,83.9882538,83.9664858,No Data,No Data,27.6864106,-57.6245018,
4827,84.2600586,84.2415452,No Data,No Data,27.411351,-57.298651,
4913,84.5799516,84.561078,No Data,No Data,27.0918182,-58.2421524,
4999,84.9406126,84.9214966,No Data,No Data,26.7313994,-59.9427086,
5085,85.3444642,85.3239958,No Data,No Data,26.3289002,-59.10242,
5171,85.5601992,85.5407562,No Data,No Data,26.11214,-58.7641076,
5257,86.0293182,86.0099338,No Data,No Data,25.6429624,-61.4009826,
5343,86.5541018,86.5346144,No Data,No Data,25.1182816,-62.4120448,
5429,87.146994,87.127504,No Data,No Data,24.5253922,-60.1059096,
5515,87.8262482,87.8066374,No Data,No Data,23.8462584,-58.074262,
5601,88.1970156,88.1787492,No Data,No Data,23.474147,-59.0396774,
5687,89.0038588,88.9845828,No Data,No Data,22.6683134,-59.2396812,
5773,89.9064134,89.8876648,No Data,No Data,21.7652314,-57.8845794,
5859,90.9377944,90.9181,No Data,No Data,20.7347962,-59.100264,
5945,92.1320054,92.1128784,No Data,No Data,19.5400178,-58.1717866,
6031,92.8049378,92.785765,No Data,No Data,18.867131,-58.652231,
6117,94.3375228,94.3192244,No Data,No Data,17.3336716,-60.9618834,
6203,96.1908752,96.1718446,No Data,No Data,15.4810516,-59.3206154,
6289,98.4631162,98.4443618,No Data,No Data,13.208534,-58.3249382,
6375,101.1457932,101.127095,No Data,No Data,10.5258012,-55.8128284,
6461,102.4560852,102.4373504,No Data,No Data,9.2155456,-55.3534402,
6547,103.6553422,103.6364638,No Data,No Data,8.0164322,-55.7927484,
6633,102.2263444,102.2074906,No Data,No Data,9.4454054,-58.359575,
6719,99.8329484,99.8144974,No Data,No Data,11.8383986,-61.7446,
6805,97.5548232,97.5359512,No Data,No Data,14.1169448,-64.969999,
6891,95.5938448,95.5753328,No Data,No Data,16.0775636,-66.0827896,
6977,94.7293564,94.7104264,No Data,No Data,16.9424698,-68.2935852,
7063,93.1800416,93.1607268,No Data,No Data,18.4921692,-65.3326654,
7149,91.8354388,91.8160522,No Data,No Data,19.836844,-70.3187986,
7235,90.6627854,90.6441268,No Data,No Data,21.0087692,-66.944699,
7321,89.6249544,89.6049698,No Data,No Data,22.0479262,-67.5279464,
7407,89.147638,89.1280488,No Data,No Data,22.5248472,-65.7301482,
7493,88.2516494,88.2325808,No Data,No Data,23.4203158,-68.1603898,
7579,87.4252684,87.4053282,No Data,No Data,24.2475676,-69.7325484,
7665,86.658905,86.6397888,No Data,No Data,25.0131072,-64.8958856,
7751,85.943181,85.9234314,No Data,No Data,25.7294646,-66.7705764,
7837,85.6018006,85.5825866,No Data,No Data,26.0703094,-65.0982248,
7923,84.9530412,84.9329956,No Data,No Data,26.7199006,-63.4437074,
8009,84.3351928,84.3151092,No Data,No Data,27.337787,-61.5539062,
8095,83.756053,83.7358948,No Data,No Data,27.9170014,-59.970745,
8181,83.2089996,83.191211,No Data,No Data,28.4616852,-61.3857614,
8267,82.9475494,82.9267168,No Data,No Data,28.7261796,-63.2733704,
8353,82.4544816,82.433841,No Data,No Data,29.2190552,-66.7607932,
8439,82.0084062,81.9872758,No Data,No Data,29.6656204,-65.0696838,
8525,81.5921982,81.5711,No Data,No Data,30.081796,-62.4117508,
8611,81.1735872,81.1544844,No Data,No Data,30.4984114,-61.5906126,
8697,80.9650802,80.9439974,No Data,No Data,30.708899,-59.661963,
8783,80.5755662,80.5569182,No Data,No Data,31.0959778,-59.0321054,
8869,80.2090346,80.1858672,No Data,No Data,31.4670286,-66.9077902,
8955,79.8807174,79.8602618,No Data,No Data,31.7926344,-57.030047,
9041,79.5797304,79.5599428,No Data,No Data,32.0929536,-59.7815376,
9127,79.44346,79.426796,No Data,No Data,32.2261002,-60.6611336,
9213,79.1865174,79.1656052,No Data,No Data,32.487291,-58.4870582,
9299,78.9606158,78.939766,No Data,No Data,32.7131302,-58.8582284,
9385,78.762384,78.7427932,No Data,No Data,32.910103,-56.4029662,
9471,78.593161,78.5715912,No Data,No Data,33.0813048,-58.59578,
9557,78.518344,78.4972322,No Data,No Data,33.155664,-58.3582648,
9643,78.3947404,78.3708848,No Data,No Data,33.2820114,-58.2690294,
9729,78.3072588,78.2861984,No Data,No Data,33.3666976,-61.68667,
9815,78.2368088,78.2160306,No Data,No Data,33.4368652,-59.4746214,
9901,78.2001008,78.1793442,No Data,No Data,33.473552,-56.3246078,
9987,78.1853042,78.1621658,No Data,No Data,33.4907302,-60.6973808,
10073,78.19106,78.1679856,No Data,No Data,33.4849104,-55.6473878,
10159,78.2225996,78.1999464,No Data,No Data,33.4529498,-59.7209434,
10245,78.286058,78.26474,No Data,No Data,33.3881562,-57.1628708,
10331,78.3853746,78.3615248,No Data,No Data,33.291371,-58.6153052,
10417,78.4338944,78.4109238,No Data,No Data,33.2419724,-57.2132004,
10503,78.5679748,78.5441528,No Data,No Data,33.1087434,-60.7082922,
10589,78.7166504,78.6932954,No Data,No Data,32.959601,-65.9534012,
10675,78.8861802,78.8634278,No Data,No Data,32.7894686,-60.5473632,
10761,79.0707884,79.0507204,No Data,No Data,32.6021758,-56.471801,
10847,79.16568,79.144496,No Data,No Data,32.5084,-61.4779328,
10933,79.3541336,79.3352174,No Data,No Data,32.3176788,-60.1672264,
11019,79.528795,79.508914,No Data,No Data,32.1439818,-61.222895,
11105,79.684192,79.6646304,No Data,No Data,31.9882658,-62.0914146,
11191,79.7897506,79.7704298,No Data,No Data,31.882466,-62.6570412,
11277,79.8195374,79.7974962,No Data,No Data,31.8554002,-62.6984,
11363,79.833383,79.81463,No Data,No Data,31.8382658,-61.1109398,
11449,79.7688736,79.7490908,No Data,No Data,31.9038056,-59.3024648,
11535,79.6165648,79.5967422,No Data,No Data,32.0561538,-67.4037644,
11621,79.3719344,79.3523056,No Data,No Data,32.3005904,-65.5795852,
11707,79.0425368,79.0178528,No Data,No Data,32.6350432,-63.307135,
11793,78.8558716,78.8325728,No Data,No Data,32.8203232,-61.524678,
11879,78.4535906,78.4310758,No Data,No Data,33.2218198,-60.9614264,
11965,78.0667956,78.0455534,No Data,No Data,33.6073422,-61.9349838,
12051,77.5625916,77.5424728,No Data,No Data,34.1104234,-61.8334936,
12137,77.0207122,76.9975998,No Data,No Data,34.6552964,-61.0155082,
12223,76.7395308,76.7195708,No Data,No Data,34.933325,-100,
12309,76.1951018,76.172441,No Data,No Data,35.4804552,-100,
12395,75.6505432,75.6274202,No Data,No Data,36.025476,-100,
12481,75.1109804,75.0871428,No Data,No Data,36.565753,-100,
12567,74.6021286,74.5773194,No Data,No Data,37.0755768,-100,
12653,74.3465758,74.3191268,No Data,No Data,37.333769,-100,
12739,73.8696794,73.8469194,No Data,No Data,37.805977,-100,
12825,73.4155518,73.3883424,No Data,No Data,38.2645538,-100,
12911,72.9991914,72.975435,No Data,No Data,38.6774614,-100,
12997,72.6765702,72.6528962,No Data,No Data,39,-100,
